municipality_id,name,long,lat,departament_departament_id
176,San Rafael Pié de la Cuesta,,1211,12
177,Nuevo Progreso,,1212,12
178,El Tumbador,,1213,12
179,El Rodeo,,1214,12
180,Malacatán,,1215,12
181,Catarina,,1216,12
182,Ayutla,,1217,12
183,Ocós,,1218,12
184,San Pablo,,1219,12
185,El Quetzal,,1220,12
186,La Reforma,,1221,12
187,Pajapita,,1222,12
188,Ixchiguán,,1223,12
189,San José Ojetenán,,1224,12
190,San Cristóbal Cucho,,1225,12
191,Sipacapa,,1226,12
192,Esquipulas Palo Gordo,,1227,12
193,Río Blanco,,1228,12
194,San Lorenzo,,1229,12
195,La Blanca,,1230,12
196,Huehuetenango,,1301,13
197,Chiantla,,1302,13
198,Malacatancito,,1303,13
199,Cuilco,,1304,13
200,Nentón,,1305,13
201,San Pedro Necta,,1306,13
202,Jacaltenango,,1307,13
203,Soloma,,1308,13
204,Ixtahuacán,,1309,13
205,Santa Bárbara,,1310,13
206,La Libertad,,1311,13
207,La Democracia,,1312,13
208,San Miguel Acatán,,1313,13
209,San Rafael la Independencia,,1314,13
210,Todos Santos Cuchumatán,,1315,13
211,San Juan Atitán,,1316,13
212,Santa Eulalia,,1317,13
213,San Mateo Ixtatán,,1318,13
214,Colotenango,,1319,13
215,San Sebastián Huehuetenango,,1320,13
216,Tectitán,,1321,13
217,Concepción Huista,,1322,13
218,San Juan Ixcoy,,1323,13
219,San Antonio Huista,,1324,13
220,San Sebastián Coatán,,1325,13
221,Barillas,,1326,13
222,Aguacatán,,1327,13
223,San Rafael Petzal,,1328,13
224,San Gaspar Ixchil,,1329,13
225,Santiago Chimaltenango,,1330,13
226,Santa Ana Huista,,1331,13
227,Unión Cantinil,,1332,13
228,Santa Cruz del Quiché,,1401,14
229,Chiché,,1402,14
230,Chinique,,1403,14
231,Zacualpa,,1404,14
232,Chajul,,1405,14
233,Chichicastenango,,1406,14
234,Patzité,,1407,14
235,San Antonio Ilotenango,,1408,14
236,San Pedro Jocopilas,,1409,14
237,Cunén,,1410,14
238,San Juan Cotzal,,1411,14
239,Joyabaj,,1412,14
240,Nebaj,,1413,14
241,San Andrés Sajcabajá,,1414,14
242,Uspantán,,1415,14
243,Sacapulas,,1416,14
244,San Bartolomé Jocotenango,,1417,14
245,Canillá,,1418,14
246,Chicamán,,1419,14
247,Ixcán,,1420,14
248,Pachalum,,1421,14
249,Salamá,,1501,15
250,San Miguel Chicaj,,1502,15
251,Rabinal,,1503,15
252,Cubulco,,1504,15
253,Granados,,1505,15
254,El Chol,,1506,15
255,San Jerónimo,,1507,15
256,Purulhá,,1508,15
257,Cobán,,1601,16
258,Santa Cruz Verapaz,,1602,16
259,San Cristóbal Verapaz,,1603,16
260,Tactic,,1604,16
261,Tamahú,,1605,16
262,Tucurú,,1606,16
263,Panzós,,1607,16
264,Senahú,,1608,16
265,San Pedro Carchá,,1609,16
266,San Juan Chamelco,,1610,16
267,Lanquín,,1611,16
268,Cahabón,,1612,16
269,Chisec,,1613,16
270,Chahal,,1614,16
271,Fray Bartolomé de las Casas,,1615,16
272,Santa Catalina la Tinta,,1616,16
273,Raxruhá,,1617,16
274,Flores,,1701,17
275,San José,,1702,17
276,San Benito,,1703,17
277,San Andrés,,1704,17
278,La Libertad,,1705,17
279,San Francisco,,1706,17
280,Santa Ana,,1707,17
281,Dolores,,1708,17
282,San Luis,,1709,17
283,Sayaxché,,1710,17
284,Melchor de Mencos,,1711,17
285,Poptún,,1712,17
286,Las Cruces,,1713,17
287,El Chal,,1714,17
288,Puerto Barrios,,1801,18
289,Livingston,,1802,18
290,El Estor,,1803,18
291,Morales,,1804,18
292,Los Amates,,1805,18
293,Zacapa,,1901,19
294,Estanzuela,,1902,19
295,Río Hondo,,1903,19
296,Gualán,,1904,19
297,Teculután,,1905,19
298,Usumatlán,,1906,19
299,Cabañas,,1907,19
300,San Diego,,1908,19
301,La Unión,,1909,19
302,Huité,,1910,19
303,San Jorge,,1911,19
304,Chiquimula,,2001,20
305,San José La Arada,,2002,20
306,San Juan Ermita,,2003,20
307,Jocotán,,2004,20
308,Camotán,,2005,20
309,Olopa,,2006,20
310,Esquipulas,,2007,20
311,Concepción Las Minas,,2008,20
312,Quetzaltepeque,,2009,20
313,San Jacinto,,2010,20
314,Ipala,,2011,20
315,Jalapa,,2101,21
316,San Pedro Pinula,,2102,21
317,San Luis Jilotepeque,,2103,21
318,San Manuel Chaparrón,,2104,21
319,San Carlos Alzatate,,2105,21
320,Monjas,,2106,21
321,Mataquescuintla,,2107,21
322,Jutiapa,,2201,22
323,El Progreso,,2202,22
324,Santa Catarina Mita,,2203,22
325,Agua Blanca,,2204,22
326,Asunción Mita,,2205,22
327,Yupiltepeque,,2206,22
328,Atescatempa,,2207,22
329,Jerez,,2208,22
330,El Adelanto,,2209,22
331,Zapotitlán,,2210,22
332,Comapa,,2211,22
333,Jalpatagua,,2212,22
334,Conguaco,,2213,22
335,Moyuta,,2214,22
336,Pasaco,,2215,22
337,San José Acatempa,,2216,22
338,Quesada,,2217,22
